,X,Y,Z
295,8.575,5.625,1.57
296,8.235,5.125,1.3175
297,7.825,5.125,1.01
298,2.505,5.845,2.0022
299,0.855,5.845,0.4512
300,9.375,3.0625,0.74
301,8.575,5.625,0.48
302,8.575,5.625,1.36
303,8.575,5.625,1.11
304,1.385,5.845,0.9494
305,8.575,5.625,0.87
306,1.895,5.845,1.4288
307,9.375,3.0625,0.63
308,9.375,3.0625,1.51
309,8.575,5.625,0.51
310,9.025,5.125,1.91
311,9.375,3.0625,0.82
312,9.375,3.0625,1.92
313,8.575,5.625,1.82
314,9.375,3.0625,1.47
315,8.575,5.625,1.17
316,8.675,5.125,1.6475
317,8.245,5.125,1.325
318,0.0,3.0625,1.77
319,7.275,5.125,0.5975
320,1.485,5.845,1.0434
321,0.845,5.845,0.4418
322,2.525,5.845,2.021
323,2.335,5.845,1.8424
324,8.575,5.625,0.84
325,7.455,5.125,0.7325
326,1.915,5.845,1.4476
327,9.375,3.0625,1.61
328,9.375,3.0625,1.81
329,2.765,5.845,2.2466
330,0.875,5.845,0.47
331,2.435,5.845,1.9364
332,2.175,5.845,1.692
333,1.465,5.845,1.0246
334,0.0,3.0625,1.33
335,1.075,5.845,0.658
336,7.525,5.125,0.785
337,7.665,5.125,0.89
338,9.375,3.0625,0.99
339,0.415,5.845,0.0376
340,8.315,5.125,1.3775
341,9.055,5.125,1.9325
342,7.045,5.125,0.425
343,1.035,5.845,0.6204
344,1.825,5.845,1.363
345,0.0,3.0625,1.75
346,8.575,5.625,1.01
347,8.935,5.125,1.8425
348,8.195,5.125,1.2875
349,9.375,3.0625,1.59
350,8.575,5.625,1.19
351,7.685,5.125,0.905
352,9.125,5.125,1.985
353,8.575,5.625,0.38
354,2.655,5.845,2.1432
355,8.035,5.125,1.1675
356,2.185,5.845,1.7014
357,0.0,3.0625,1.4
358,8.575,5.625,0.74
359,8.575,5.625,1.4
360,9.375,3.0625,1.83
361,2.475,5.845,1.974
362,1.125,5.845,0.705
363,8.575,5.625,0.6
364,1.445,5.845,1.0058
365,8.305,5.125,1.37
366,9.375,3.0625,0.61
367,9.375,3.0625,0.51
368,8.575,5.625,1.46
369,7.725,5.125,0.935
370,7.815,5.125,1.0025
371,2.145,5.845,1.6638
372,8.575,5.625,0.57
373,9.375,3.0625,0.9
374,2.315,5.845,1.8236
375,8.575,5.625,1.33
376,8.575,5.625,1.22
377,2.425,5.845,1.927
378,8.575,5.625,1.59
379,1.855,5.845,1.3912
380,7.095,5.125,0.4625
381,1.255,5.845,0.8272
382,0.965,5.845,0.5546
383,8.575,5.625,1.25
384,9.115,5.125,1.9775
385,8.325,5.125,1.385
386,1.215,5.845,0.7896
387,2.835,5.845,2.3124
388,8.095,5.125,1.2125
389,7.805,5.125,0.995
390,9.375,3.0625,1.69
391,8.015,5.125,1.1525
392,9.375,3.0625,1.2
393,7.295,5.125,0.6125
394,8.575,5.625,1.66
395,2.815,5.845,2.2936
396,8.575,5.625,0.81
397,1.635,5.845,1.1844
398,7.745,5.125,0.95
399,8.575,5.625,1.8
400,8.575,5.625,1.38
401,8.525,5.125,1.535
402,2.405,5.845,1.9082
403,8.575,5.625,0.54
404,1.655,5.845,1.2032
405,8.575,5.625,0.98
406,1.185,5.845,0.7614
407,2.365,5.845,1.8706
408,7.375,5.125,0.6725
409,7.915,5.125,1.0775
410,8.575,5.625,1.78
411,9.375,3.0625,0.55
412,7.355,5.125,0.6575
413,0.0,3.0625,1.25
414,0.995,5.845,0.5828
415,0.0,3.0625,1.76
416,7.075,5.125,0.4475
417,0.555,5.845,0.1692
418,2.485,5.845,1.9834
419,0.0,3.0625,1.44
420,8.165,5.125,1.265
421,9.375,3.0625,1.38
422,1.685,5.845,1.2314
423,8.575,5.625,1.1
424,8.575,5.625,0.55
425,0.0,3.0625,1.35
426,8.575,5.625,1.34
427,0.655,5.845,0.2632
428,7.715,5.125,0.9275
429,8.575,5.625,1.29
430,8.535,5.125,1.5425
431,2.035,5.845,1.5604
432,7.505,5.125,0.77
433,9.375,3.0625,1.01
434,2.305,5.845,1.8142
435,0.895,5.845,0.4888
436,8.595,5.125,1.5875
437,8.575,5.625,1.64
438,1.945,5.845,1.4758
439,9.375,3.0625,1.79
440,0.0,3.0625,1.36
441,7.175,5.125,0.5225
